id,title,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
50600.0,A Free Soul,,,1931,3.118,6.7,93.0,5.3417142857142865,52.94100000000001,12.435,1.3395714285714284,13.594,2.074
104209.0,The Royal Family of Broadway,,,1930,1.094,5.7,82.0,1.9917142857142862,18.868000000000002,3.223,1.3745714285714286,11.451999999999998,2.371
987.0,The Front Page,4000000.0,,1974,10.016,7.318,105.0,12.826714285714285,139.368,30.285,4.494000000000001,37.46600000000001,9.11
42641.0,Morocco,,,1930,6.534,6.429,92.0,4.397428571428571,38.592,13.323,2.4324285714285714,22.183000000000003,5.122
85505.0,Min and Bill,,,1930,1.938,6.7,66.0,2.696285714285714,23.808,4.434,1.3438571428571429,12.459,2.913
16274.0,Holiday,,,1938,10.305,7.306,97.0,4.572285714285713,60.12899999999999,7.866,1.5681428571428573,14.357,2.371
42861.0,Cimarron,1433000.0,1383000.0,1931,5.701,5.6,123.0,2.6815714285714285,38.446,3.816,1.2957142857142858,15.34,1.96
90395.0,Just Imagine,,,1930,2.153,5.3,113.0,2.7935714285714286,21.366,6.688,1.0,15.04,1.4
4454.0,Svengali,,,1954,2.284,5.9,100.0,4.8707142857142856,61.754,8.467,1.5318571428571428,18.591,4.321
108224.0,Whoopee!,,,1930,2.022,7.0,93.0,4.460571428571428,45.15,9.353,1.1377142857142857,15.51,1.632
173746.0,The Right to Love,,,1930,0.6,,79.0,2.2852857142857146,21.433000000000003,4.236,0.8138571428571427,5.696999999999999,1.165
977.0,Tabu,,,1931,5.859,7.205,86.0,0.826,4.13,1.4,2.149142857142857,23.542,2.333
84295.0,Skippy,,,1931,2.117,6.5,85.0,2.246,23.867000000000004,6.062,1.5184285714285717,14.829,2.309
84277.0,East Lynne,,,1931,0.96,5.9,102.0,1.7552857142857143,14.914999999999997,3.224,0.9401999999999999,4.701,1.301
84296.0,Trader Horn,1300000.0,4200000.0,1931,0.99,5.2,122.0,1.284285714285714,8.989999999999998,2.264,1.0331666666666663,6.198999999999999,1.599
42815.0,The Criminal Code,,,1930,3.246,6.278,97.0,3.2651428571428567,39.290000000000006,6.338,2.7192857142857143,26.205,5.707
27899.0,Little Caesar,,,1931,8.923,7.0,79.0,3.8655714285714287,50.794000000000004,9.688,1.5078571428571428,14.755,3.184
46688.0,The Dawn Patrol,,,1938,3.127,6.788,103.0,6.8571428571428585,74.75299999999999,16.769,1.531285714285714,20.801000000000002,1.827
26699.0,The Doorway to Hell,,,1930,2.388,6.2,78.0,2.873,40.592999999999996,4.58,1.5164285714285712,15.754000000000001,2.256
166010.0,Laughter,,,1930,1.637,4.9,85.0,2.1917142857142857,17.142,4.092,0.9592857142857142,10.314999999999998,1.62
17687.0,The Public Enemy,,,1931,11.527,7.275,83.0,4.345000000000001,60.26499999999999,6.132,1.5531428571428574,13.271999999999998,4.816
17966.0,Smart Money,,,1931,3.726,7.083,81.0,4.567285714285714,40.11800000000001,9.306,1.149142857142857,11.673,1.411
30547.0,The Champ,,30441738.0,1979,9.612,6.979,121.0,11.876857142857142,145.75200000000004,17.17,1.8260000000000003,29.653999999999996,3.629
95004.0,The Guardsman,,,1931,1.053,5.8,82.0,1.9705714285714289,15.965999999999998,2.992,1.72,16.412,2.913
3006.0,Dr. Jekyll and Mr. Hyde,,,1908,0.676,,16.0,1.22,1.22,1.22,1.2872857142857141,10.211,3.431
3573.0,Emma,6000000.0,22231658.0,1996,12.583,6.734,121.0,22.495857142857144,209.905,38.785,3.9581428571428567,76.58299999999996,6.761
85504.0,The Sin of Madelon Claudet,,,1931,4.196,6.0,75.0,3.3587142857142855,34.900000000000006,4.773,1.7448571428571429,14.614,2.913
