,id,title,budget,revenue,release_date,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity,percentage_revenue,Won
3351,2668,Sleepy Hollow,100000000.0,206071502.0,1999.0,7.162,105.0,31.413714285714285,348.079,46.194,5.892857142857144,218.96599999999995,15.15,206.07,1.0
3352,10219,Snow Falling on Cedars,35000000.0,,1999.0,6.181,127.0,15.937142857142856,248.419,27.214,2.821142857142857,33.891,3.871,340.11,1.0
3353,12524,Titus,,2259680.0,1999.0,6.551,162.0,20.153142857142857,220.232,35.776,3.588285714285714,33.766,6.319,340.11,1.0
3354,46435,Topsy-Turvy,,,1999.0,6.703,160.0,17.89385714285714,317.618,35.602,2.8607142857142853,89.70399999999995,4.883,340.11,1.0
3355,11779,Buena Vista Social Club,,,1999.0,7.545,105.0,1.350714285714286,23.25500000000001,1.981,3.3811428571428577,79.97999999999996,6.689,340.11,1.0
3356,28030,Genghis Blues,,,1999.0,6.9,87.0,0.99,1.98,1.38,1.3456,6.728,1.532,340.11,1.0
3357,113273,On the Ropes,,,1999.0,6.5,94.0,1.8,1.8,1.8,1.7857142857142858,15.174,2.062,340.11,1.0
3358,34039,One Day In September,,,2008.0,6.7,12.0,0.6,1.7999999999999998,0.6,0.6,0.6,0.6,340.11,0.0
3359,113275,Speaking in Strings,,,1999.0,5.7,73.0,4.301,8.602,8.002,0.6,0.6,0.6,340.11,1.0
3360,31679,Eyewitness,8500000.0,,1981.0,5.7,103.0,25.79028571428572,204.479,73.177,2.5819999999999994,46.08900000000001,3.725,340.11,1.0
3361,244949,King Gimp,,,1999.0,7.0,39.0,6.715999999999999,68.60050000000001,13.651499999999999,0.6,1.7999999999999998,0.6,340.11,1.0
3362,244952,The Wildest Show in the South: The Angola Prison Rodeo,,,1999.0,7.0,30.0,6.715999999999999,68.60050000000001,13.651499999999999,0.6,3.0,0.6,340.11,1.0
3363,603,The Matrix,63000000.0,463517383.0,1999.0,8.199,136.0,27.603285714285715,266.31800000000004,66.781,13.663142857142857,281.476,19.967,735.74,1.0
3364,201121,Caravan,,,1934.0,6.7,101.0,5.007285714285715,74.033,12.959,1.2582857142857142,23.134000000000004,1.62,340.11,1.0
3365,81517,Solomon and Gaenor,,301754.0,1999.0,6.3,105.0,6.482714285714286,46.406000000000006,13.506,0.6,1.2,0.6,340.11,1.0
3366,605464,Under The Sun,,,1994.0,6.7,77.0,2.908857142857144,20.962,8.387,1.626571428571428,11.385999999999996,4.193,340.11,0.0
3367,817,Austin Powers: The Spy Who Shagged Me,33000000.0,312016928.0,1999.0,6.266,95.0,28.477714285714285,519.7510000000001,38.462,11.620000000000005,201.572,27.946,945.51,1.0
3368,2277,Bicentennial Man,100000000.0,87423861.0,1999.0,7.245,131.0,19.26,206.601,29.95,5.678,69.323,7.712,87.42,1.0
3369,6522,Life,80000000.0,73521587.0,1999.0,6.646,108.0,18.13357142857143,212.198,29.893,6.480142857142856,49.07300000000001,28.173,91.9,1.0
3370,10397,Angela's Ashes,50000000.0,13042112.0,1999.0,7.262,145.0,12.106714285714286,173.83100000000002,25.765,3.549,45.545,5.724,26.08,1.0
3371,9473,"South Park: Bigger, Longer & Uncut",21000000.0,83137603.0,1999.0,7.219,81.0,13.762,135.27199999999996,19.587,8.929857142857141,243.92099999999996,9.513,395.89,1.0
3372,863,Toy Story 2,90000000.0,497366869.0,1999.0,7.585,92.0,34.487142857142864,452.927,109.663,8.661714285714286,377.676,11.295,552.63,1.0
3373,37135,Tarzan,130000000.0,448191819.0,1999.0,7.399,88.0,18.981428571428573,253.376,25.931,4.920428571428571,92.957,7.395,344.76,1.0
3374,209969,Humdrum,,,1999.0,6.4,7.0,0.79,1.58,0.98,0.903285714285714,10.522999999999998,2.115,340.11,1.0
3375,2751,3 Misses,,,1998.0,5.8,11.0,6.715999999999999,68.60050000000001,13.651499999999999,0.98,1.96,0.98,340.11,1.0
3376,160332,When the Day Breaks,,,1999.0,6.6,10.0,6.715999999999999,68.60050000000001,13.651499999999999,0.6,1.2,0.6,340.11,1.0
3377,244945,Killing Joe,,,1999.0,6.7,41.0,5.375800000000001,26.879,16.348,0.6,0.6,0.6,340.11,1.0
3378,244942,My Mother Dreams the Satan's Disciples in New York,,,1998.0,6.5,30.0,6.715999999999999,68.60050000000001,13.651499999999999,0.6,0.6,0.6,340.11,1.0
3379,564,The Mummy,80000000.0,415885488.0,1999.0,6.894,124.0,22.742142857142856,232.843,67.722,5.000571428571428,231.032,5.751,519.86,1.0
3380,1893,Star Wars: Episode I - The Phantom Menace,115000000.0,924317558.0,1999.0,6.526,136.0,42.436142857142855,567.617,69.329,9.673142857142858,254.832,16.426,803.75,0.0
3381,550,Fight Club,63000000.0,100853753.0,1999.0,8.432,139.0,22.735142857142865,301.9840000000001,43.031,6.954285714285715,193.23999999999995,13.157,160.09,1.0
3382,10137,Stuart Little,133000000.0,300135367.0,1999.0,6.034,84.0,18.017,238.088,28.086,4.779857142857144,61.623,12.96,225.67,1.0
3383,9451,Election,25000000.0,14902041.0,1999.0,6.833,103.0,14.882285714285716,133.30299999999997,30.572,2.745285714285714,61.307,5.251,59.61,1.0
3384,5001,Before Night Falls,,8524534.0,2000.0,6.648,134.0,20.17871428571428,204.982,41.786,2.2504285714285714,27.768,3.185,340.11,1.0
3385,98,Gladiator,103000000.0,465361176.0,2000.0,8.205,155.0,29.049142857142865,363.7780000000001,49.06,8.355428571428572,297.716,16.2,451.81,1.0
3386,8358,Cast Away,90000000.0,429632142.0,2000.0,7.656,143.0,28.555428571428564,282.81300000000005,109.663,21.657,312.478,109.663,477.37,1.0
3387,10876,Quills,13500000.0,7060876.0,2000.0,7.138,124.0,19.706714285714288,199.218,40.869,3.321714285714286,96.33199999999997,4.626,52.3,1.0
3388,6521,The Contender,20000000.0,22428990.0,2000.0,6.672,126.0,29.233142857142848,279.90600000000006,73.859,13.53685714285714,114.31,73.859,112.14,1.0
3389,10873,Shadow of the Vampire,8000000.0,8279017.0,2000.0,6.676,92.0,19.851571428571425,156.47,43.414,19.810714285714287,167.06499999999997,130.21,103.49,1.0
3390,1900,Traffic,48000000.0,207515725.0,2000.0,7.066,147.0,24.365571428571428,593.743,31.315,5.412142857142858,108.164,8.369,432.32,1.0
3391,392,Chocolat,25000000.0,152500343.0,2000.0,6.958,121.0,24.12442857142857,208.06199999999995,41.954,3.282571428571429,51.614,7.081,610.0,1.0
3392,641,Requiem for a Dream,4500000.0,7390108.0,2000.0,8.033,102.0,31.46557142857143,333.247,99.968,5.2504285714285714,118.982,8.56,164.22,1.0
3393,14295,You Can Count on Me,,,2000.0,6.9,111.0,19.66614285714286,187.111,31.377,4.530857142857142,56.534000000000006,16.291,340.11,1.0
3394,462,Erin Brockovich,52000000.0,256271286.0,2000.0,7.423,131.0,17.739428571428572,247.971,24.052,9.553571428571429,180.383,34.009,492.83,1.0
3395,12509,Pollock,6000000.0,10994533.0,2000.0,6.689,122.0,31.122285714285717,302.69900000000007,99.968,9.086857142857143,81.92999999999999,27.121,183.24,1.0
3396,71,Billy Elliot,5000000.0,109280263.0,2000.0,7.59,110.0,8.718571428571428,103.456,12.645,1.874428571428572,22.932,3.777,2185.61,1.0
3397,7093,Vatel,,,2000.0,6.2,125.0,20.535000000000004,184.154,49.199,2.177,21.219,3.416,340.11,1.0
3398,10867,Malena,,14493284.0,2000.0,7.423,109.0,12.458714285714288,134.449,63.05,3.3638571428571424,34.922,6.761,340.11,0.0
3399,134,"O Brother, Where Art Thou?",26000000.0,71870729.0,2000.0,7.328,107.0,16.830999999999996,178.13100000000003,23.557,7.740428571428571,106.969,8.931,276.43,1.0
3400,10481,102 Dalmatians,85000000.0,183611771.0,2000.0,5.471,100.0,13.221142857142857,121.352,23.063,2.0844285714285715,34.803000000000004,2.747,216.01,1.0
3401,58062,Into the Arms of Strangers: Stories of the Kindertransport,,,2000.0,7.444,122.0,18.721,18.721,18.721,0.8365714285714284,7.055999999999999,1.4,340.11,1.0
3402,26779,Legacy,,,2000.0,6.2,90.0,6.715999999999999,68.60050000000001,13.651499999999999,0.6,0.6,0.6,340.11,1.0
3403,95682,Long Night's Journey Into Day,,,2000.0,6.2,94.0,6.715999999999999,68.60050000000001,13.651499999999999,0.6,2.4,0.6,340.11,0.0
3404,70564,Scottsboro: An American Tragedy,,,2000.0,8.2,90.0,6.715999999999999,68.60050000000001,13.651499999999999,1.28,2.56,1.96,340.11,1.0
3405,62529,Sound and Fury,,,2000.0,7.0,80.0,6.715999999999999,68.60050000000001,13.651499999999999,0.98,1.96,0.98,340.11,1.0
3406,244965,Big Mama,,,2000.0,6.3,35.0,0.6,0.6,0.6,0.76,3.8,1.4,340.11,1.0
3407,48689,Curtain Call,,,1998.0,5.2,94.0,25.901,235.225,50.455,1.2177142857142855,10.324,2.738,340.11,1.0
3408,19356,Dolphins,,,2000.0,5.5,41.0,27.071,27.071,27.071,1.3045714285714285,11.531999999999998,1.572,340.11,1.0
3409,136955,The Man on Lincoln's Nose,,,2000.0,7.8,40.0,2.38,2.38,2.38,0.966,1.932,1.092,340.11,1.0
3410,244972,On Tiptoe: Gentle Steps to Freedom,,,2000.0,6.7,58.0,1.3095,2.619,2.019,0.847,1.694,1.094,340.11,1.0
3411,55,Amores Perros,2000000.0,20908467.0,2000.0,7.621,154.0,5.6885714285714295,63.24,14.768,8.255714285714285,119.153,18.196,1045.42,1.0
3412,8843,The Cell,33000000.0,104155843.0,2000.0,6.256,107.0,19.511571428571425,220.17700000000005,35.174,3.636,129.76399999999998,6.682,315.62,1.0
3413,1597,Meet the Parents,55000000.0,330444045.0,2000.0,6.667,108.0,24.48628571428572,234.153,58.503,11.23,179.66799999999998,50.058,600.81,1.0
3414,16,Dancer in the Dark,12800000.0,40031879.0,2000.0,7.888,141.0,16.72357142857143,165.25999999999996,24.444,9.473571428571429,114.467,11.035,312.75,1.0
3415,11688,The Emperor's New Groove,100000000.0,169327687.0,2000.0,7.549,78.0,16.338,194.80300000000005,26.372,4.663142857142858,96.04099999999995,5.694,169.33,1.0
3416,11004,Wonder Boys,35000000.0,,2000.0,6.824,111.0,24.44871428571429,251.173,39.797,2.219142857142857,34.622,3.771,340.11,1.0
3417,48617,Father and Daughter,,,2001.0,7.4,8.0,6.715999999999999,68.60050000000001,13.651499999999999,1.344857142857143,13.614,1.614,340.11,1.0
3418,32536,Rejected,,,2000.0,7.4,9.0,0.8176666666666667,2.453,1.253,0.9008571428571426,9.306,1.4,340.11,1.0
3419,244957,By Courier,,,2001.0,6.3,13.0,6.255333333333334,18.766,15.883,7.258999999999999,14.518,13.918,340.11,1.0
3420,244958,One Day Crossing,,,2001.0,8.0,25.0,2.39975,9.598999999999998,7.419,0.6,1.2,0.6,340.11,1.0
3421,244960,Seraglio,,,2000.0,6.3,14.0,1.11275,4.451,2.651,0.8165,1.633,1.033,340.11,1.0
3422,2133,The Perfect Storm,120000000.0,325756637.0,2000.0,6.418,130.0,25.409142857142857,325.66299999999995,37.85,5.819999999999999,286.475,7.712,271.46,1.0
3423,5551,Space Cowboys,65000000.0,128884132.0,2000.0,6.369,130.0,24.90157142857143,325.028,40.519,11.072714285714284,164.26799999999997,32.439,198.28,1.0
3424,3536,U-571,62000000.0,127666415.0,2000.0,6.447,116.0,16.476142857142857,186.226,23.794,4.5012857142857134,111.533,7.903,205.91,1.0
3425,9383,Hollow Man,95000000.0,190213455.0,2000.0,5.915,112.0,23.95028571428572,198.413,40.999,5.417285714285714,160.157,7.623,200.22,1.0
3426,786,Almost Famous,60000000.0,47386287.0,2000.0,7.485,162.0,25.887,381.281,34.147,2.8154285714285714,31.567,4.227,78.98,1.0
3427,10950,I Am Sam,22000000.0,92542418.0,2001.0,7.566,132.0,29.113000000000003,357.088,46.84,3.383571428571428,54.217,5.978,420.65,1.0
3428,8489,Ali,107000000.0,87713825.0,2001.0,6.775,157.0,30.03571428571428,468.526,66.13,7.212428571428572,116.76899999999996,10.76,81.98,1.0
3429,2034,Training Day,45000000.0,104876233.0,2001.0,7.47,122.0,25.855285714285717,358.16400000000004,39.193,5.150714285714287,92.92699999999998,8.913,233.06,1.0
3430,1999,In the Bedroom,1700000.0,,2001.0,6.935,130.0,17.98957142857143,146.60299999999998,34.869,5.292857142857144,49.09700000000001,10.034,340.11,1.0
3431,11889,Iris,5500000.0,16153953.0,2001.0,6.461,91.0,18.12757142857143,186.538,37.861,4.422571428571429,54.76200000000001,7.712,293.71,1.0
3432,11826,Sexy Beast,5000000.0,,2000.0,7.0,89.0,16.670714285714286,142.03299999999996,45.611,1.7908571428571427,23.13200000000001,2.652,340.11,1.0
3433,1365,Monster's Ball,4000000.0,44909486.0,2001.0,6.753,113.0,15.617857142857144,121.52299999999998,32.656,2.0692857142857144,26.125000000000007,3.424,1122.74,1.0
3434,634,Bridget Jones's Diary,25000000.0,281929795.0,2001.0,6.751,97.0,19.23414285714286,259.762,24.944,3.5222857142857142,122.571,7.606,1127.72,1.0
3435,453,A Beautiful Mind,60000000.0,313542341.0,2001.0,7.854,135.0,38.25871428571429,375.44000000000005,107.893,10.377571428571429,187.573,22.255,522.57,1.0
