Index,id,original_title,popularity,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
142,212,Arsenic and Old Lace,10.439,1120175,,1944,10.308,7.617,118,6.429142857,76.427,12.798,3.899857143,43.733,6.088
143,213,North by Northwest,19.823,4000000,13275000,1959,21.309,7.991,136,10.57257143,257.217,15.666,7.322142857,86.498,15.666
144,214,Saw III,38.037,10000000,164874275,2006,30.615,6.38,114,15.07714286,192.234,34.784,9.991857143,128.392,17.446
145,215,Saw II,36.613,4000000,147748505,2005,37.061,6.556,89,18.54914286,176.467,34.784,7.925571429,158.903,17.446
146,216,Angst essen Seele auf,9.518,130000,,1974,10.161,7.744,93,3.06,37.722,4.98,3.736571429,27.356,4.98
147,217,Indiana Jones and the Kingdom of the Crystal Skull,34.382,185000000,786636033,2008,37.357,5.97,122,27.99214286,366.717,44.563,11.80914286,153.86,33.237
148,218,The Terminator,53.859,6400000,78371200,1984,56.914,7.639,108,16.37914286,198.853,23.308,10.59557143,150.815,25.977
149,219,Volver,13.68,12899867,85582407,2006,13.588,7.479,121,8.199,86.135,22.322,2.42,46.813,4.897
150,220,East of Eden,11.562,,,1955,16.07,7.581,115,6.859428571,159.565,9.694,3.111571429,37.369,4.748
151,221,Rebel Without a Cause,15.697,1500000,199963,1955,18.583,7.572,111,11.82957143,168.877,19.701,2.844428571,25.703,4.846
152,223,Rebecca,15.807,1288000,6000000,1940,17.25,7.907,130,9.399285714,104.005,15.666,3.880428571,53.123,15.666
153,226,Boys Don't Cry,12.917,2000000,11540607,1999,14.58,7.45,118,12.53785714,128.259,27.027,2.067857143,37.597,2.588
154,227,The Outsiders,31.638,10000000,33697647,1983,36.244,7.256,91,26.55528571,296.885,38.346,4.077,38.913,9.176
155,228,Der blaue Engel,11.292,,,1930,10.118,7.326,108,2.606428571,28.608,7.676,2.304571429,26.465,5.532
156,229,The Bride of Frankenstein,17.024,393750,2000000,1935,13.181,7.561,75,7.198,114.05,13.076,2.895285714,57.868,5.249
157,231,Syriana,11.982,50000000,93974620,2005,15.683,6.425,128,32.33414286,405.085,59.415,7.660714286,96.942,26.779
158,232,Rumble Fish,13.291,10000000,2494480,1983,19.343,6.988,94,36.71185714,330.873,82.701,7.419428571,134.779,9.176
159,233,The Wanderers,17.39,,23000000,1979,17.306,6.978,117,11.547,142.393,35.101,2.849428571,41.737,4.344
160,234,Das Cabinet des Dr. Caligari,15.942,18000,8811,1920,15.209,7.955,78,2.912142857,23.275,10.098,1.261142857,17.935,1.4
161,235,Stand by Me,36.794,8000000,52287414,1986,29.567,7.865,89,20.83914286,203.231,47.594,7.806571429,121.147,20.194
162,236,Muriel's Wedding,10.752,3000000,15119639,1994,19.277,6.901,106,9.165428571,132.678,26.277,2.005285714,41.391,2.568
163,237,Young Adam,11.031,6400000,2500000,2003,10.379,5.9,93,18.22242857,142.413,39.89,2.681714286,21.74,5.459
164,238,The Godfather,109.36,6000000,245066411,1972,97.498,8.712,175,22.367,355.982,33.897,7.796142857,108.967,13.963
165,239,Some Like It Hot,24.312,2883848,25000000,1959,29.682,8.124,122,10.92585714,202.681,29.591,4.963857143,74.68,9.085
166,240,The Godfather Part II,66.934,13000000,102600000,1974,64.097,8.597,202,28.40214286,454.924,57.826,8.792428571,127.089,20.937
167,241,Natural Born Killers,20.912,34000000,50283563,1994,22.496,7.075,118,27.96785714,416.907,44.687,9.851,118.607,27.939
168,242,The Godfather Part III,70.989,54000000,136766062,1990,66.258,7.421,170,23.98942857,414.566,33.897,7.717428571,152.279,10.994
169,243,High Fidelity,13.642,30000000,47126295,2000,15.528,7.14,113,26.80528571,331.514,52.843,12.51857143,196.356,21.088
170,244,King Kong,24.935,672000,10000000,1933,22.816,7.63,104,5.297428571,81.783,7.411,2.023714286,68.633,2.22
171,245,About a Boy,16.419,27000000,129000000,2002,14.735,6.655,101,27.75971429,271.679,46.149,13.95528571,192.827,57.826
172,246,座頭市,8.672,2500000,34196922,2003,11.917,7.249,111,7.185285714,90.852,12.438,3.507285714,28.981,6.238
173,247,The Killing,11.816,320000,,1956,13.373,7.689,85,9.644142857,140.786,17.422,5.582,64.466,15.779
174,248,Pocketful of Miracles,9.716,2900000,5000000,1961,11.116,7.3,136,13.58571429,221.866,16.647,5.042285714,46.567,15.452
175,249,The War of the Roses,12.789,26000000,160188546,1989,14.935,6.881,116,16.51214286,167.858,38.183,8.447714286,130.581,38.183
176,251,Ghost,34.841,22000000,505000000,1990,27.704,7.205,127,16.56185714,172.188,24.479,3.574285714,93.51,4.354
177,252,Willy Wonka & the Chocolate Factory,43.423,3000000,4000000,1971,48.273,7.475,100,6.14,101.37,11.297,5.481571429,75.057,11.596
178,253,Live and Let Die,24.626,7000000,126377836,1973,19.107,6.471,121,9.799142857,139.3,14.717,5.297857143,68.43,7.958
179,254,King Kong,38.2,207000000,562363449,2005,43.702,6.859,187,29.24042857,324.726,52.843,9.962142857,263.866,15.919
180,255,Baisers volés,8.336,350000,1500000,1968,9.701,7.305,90,7.895571429,93.491,13.449,3.205857143,30.449,4.362
181,257,Oliver Twist,11.402,50000000,42580321,2005,14.815,6.75,130,15.68742857,196.42,36.035,3.497428571,37.951,4.342
182,260,The 39 Steps,13.896,,,1935,13.929,7.396,86,6.018142857,66.777,15.666,4.736,45.659,15.666
183,261,Cat on a Hot Tin Roof,10.245,3000000,17570324,1958,13.778,7.699,108,7.533571429,60.823,14.427,2.761,34.893,4.478
184,262,The King of Comedy,15.496,20000000,2536000,1982,15.856,7.796,109,16.12328571,197.441,57.826,4.523142857,69.124,15.775
185,266,Le Mépris,9.784,900000,528428,1963,13.52,7.15,103,7.271571429,52.261,11.609,2.978571429,26.084,5.035
186,267,Carne trémula,11.526,,1535558,1997,14.721,7.09,103,11.56142857,88.409,25.325,2.732857143,23.558,4.897
187,268,Batman,40.91,35000000,411348924,1989,37.98,7.214,126,14.79828571,210.834,24.953,6.703428571,143.456,16.77
188,269,À bout de souffle,14.619,,,1960,12.786,7.6,90,5.269571429,64.187,8.514,3.156714286,30.263,5.035
189,271,Ronja Rövardotter,11.607,,,1984,9.55,6.8,126,3.334285714,35.634,4.77,1.931571429,21.415,4.391
190,272,Batman Begins,45.008,150000000,374218673,2005,46.897,7.695,140,52.09514286,688.175,91.438,11.776,305.957,18.152
191,274,The Silence of the Lambs,10.759,19000000,272742922,1991,12.451,8.345,119,20.80385714,296.893,32.48,4.821,132.906,6.667
192,275,Fargo,17.287,7000000,60611975,1996,20.588,7.871,98,20.39014286,189.441,28.614,5.192428571,85.08,5.36
193,277,Underworld,37.704,22000000,95708457,2003,33.275,6.796,122,20.63842857,208.4,33.922,4.410285714,160.779,4.8
194,278,The Shawshank Redemption,75.705,25000000,28341469,1994,74.053,8.702,142,28.07071429,377.368,64.203,12.75685714,235.713,20.194
195,279,Amadeus,20.781,18000000,51973029,1984,26.103,8.037,160,10.499,177.99,15.67,2.477857143,45.581,3.334
